iid,gender,age,field_of_study,race,imprace,imprelig,goal,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr,sinc,intel,fun,amb,shar,avg_attr,avg_sinc,avg_intel,avg_fun,avg_amb,avg_shar,yes_freq
4,0,23,1,2,1,1,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,7,7.1,7.7,7.5,7.7,7.2,0.6
5,0,21,1,2,8,1,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,5.3,7.7,7.6,7.2,7.8,6.2,0.3
6,0,23,1,4,1,1,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,6.8,7.8,8.6,7,8,6.3,0.5
7,0,22,1,4,2,4,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,7.9,7.6,8.2,7,7.5,6.7,0.7
8,0,25,13,2,1,1,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09,18.18,27.27,18.18,18.18,9.09,8.11111111111111,7.666666666666667,8.11111111111111,7.777777777777778,7.444444444444445,6.777777777777778,0.7777777777777778
9,0,26,13,6,1,1,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,20,10,20,30,10,10,7,7.4,7.5,7.8,6.9,6.3,0.7
10,0,26,13,2,4,4,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,15,15,15,40,10,5,6.375,6.625,6,6.25,5.875,5.625,0.375
11,1,27,8,2,7,3,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,5.555555555555555,8.666666666666666,8,5.333333333333333,6.444444444444445,5.222222222222222,0.4444444444444444
12,1,22,1,2,1,1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,7.777777777777778,7.222222222222222,7.777777777777778,7.333333333333333,7.555555555555555,6.111111111111111,0.4444444444444444
13,1,22,1,4,3,5,2,7,1,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,19,18,19,18,14,12,4.666666666666667,7.666666666666667,8.666666666666666,6.666666666666667,5.888888888888889,5.888888888888889,0.3333333333333333
14,1,23,1,2,1,1,2,4,1,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,30,5,15,40,5,5,8,7.333333333333333,7.111111111111111,7.333333333333333,6.222222222222222,7.444444444444445,0.8888888888888888
15,1,24,1,3,3,1,1,4,1,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,30,10,20,10,10,20,5.777777777777778,7.666666666666667,7.777777777777778,7.222222222222222,6.444444444444445,6.666666666666667,0.3333333333333333
16,1,25,8,2,9,2,1,5,1,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,50,0,30,10,0,10,5.666666666666667,8.222222222222221,7.777777777777778,4.444444444444445,6,4.666666666666667,0.3333333333333333
17,1,30,13,2,1,1,3,3,2,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,35,15,25,10,5,10,6.888888888888889,7.333333333333333,8.555555555555555,6.111111111111111,6.444444444444445,6.666666666666667,0.7777777777777778
18,1,27,8,2,8,8,1,6,1,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,33.33,11.11,11.11,11.11,11.11,22.22,5.111111111111111,7.555555555555555,7.888888888888889,5.333333333333333,7.777777777777778,5.555555555555555,0.3333333333333333
19,1,28,8,2,1,1,4,1,1,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,50,0,25,10,0,15,7.7,6.8,7.7,8.5,7.1,7.7,0.9
20,1,24,8,2,1,1,1,1,1,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,100,0,0,0,0,0,7.5,7.3,7.9,8.2,8.4,7.3,0.9
21,0,21,5,4,8,10,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,12,18,20,16,16,18,5.071428571428571,7.428571428571429,7.928571428571429,5.714285714285714,6.785714285714286,5,0.21428571428571427
22,0,27,9,1,1,2,1,6,2,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,20,20,20,10,10,20,4.545454545454546,6.7272727272727275,6.636363636363637,5.454545454545454,6.090909090909091,4.181818181818182,0.18181818181818182
23,0,21,3,4,9,6,1,1,1,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,10,20,40,10,10,10,5.846153846153846,7,6.6923076923076925,6,6.076923076923077,4.923076923076923,0.46153846153846156
24,0,27,11,2,2,3,2,6,4,9,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,10,20,20,15,20,15,6.615384615384615,7,7.461538461538462,6.6923076923076925,6.846153846153846,5.461538461538462,0.5384615384615384
25,0,25,11,2,10,2,1,5,2,9,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4,20,20,15,15,15,15,7.833333333333333,7.25,7.083333333333333,7.5,6.166666666666667,4.833333333333333,0.8333333333333334
26,0,23,11,2,2,4,1,5,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,20,20,20,15,15,10,7.75,7.166666666666667,7.416666666666667,7.416666666666667,6.5,6,0.9166666666666666
27,0,22,3,3,1,5,1,6,2,9,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8,17,10,18,20,25,10,8.25,7.166666666666667,6.833333333333333,7.583333333333333,6.333333333333333,5.666666666666667,0.9166666666666666
29,0,22,11,2,4,5,1,6,1,9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,20,22,18,15,15,10,5.769230769230769,7.076923076923077,6.384615384615385,6.076923076923077,6.3076923076923075,4.6923076923076925,0.23076923076923078
30,0,23,1,2,2,4,1,7,2,1,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4,10,20,20,20,20,10,5.909090909090909,6.636363636363637,7.363636363636363,6.090909090909091,7.181818181818182,5.090909090909091,0.2727272727272727
31,0,24,1,2,4,8,1,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,35,10,20,20,10,5,7.818181818181818,7.181818181818182,7.2727272727272725,6.363636363636363,7.2727272727272725,5.818181818181818,0.9090909090909091
32,0,27,3,4,1,1,1,4,2,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9,50,0,50,0,0,0,6.714285714285714,7.642857142857143,8.071428571428571,7,7.285714285714286,5.428571428571429,0.5714285714285714
33,0,30,3,2,4,8,6,6,1,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9,30,20,30,10,0,10,5.785714285714286,7.642857142857143,7.928571428571429,6.714285714285714,7.071428571428571,5.714285714285714,0.21428571428571427
34,0,21,8,4,2,2,1,6,2,7,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7,30,5,30,15,15,5,7,7.142857142857143,7.142857142857143,6.642857142857143,6.928571428571429,5.214285714285714,0.6428571428571429
35,0,25,2,2,9,7,1,6,3,7,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3,20,23,23,22,7,5,7.076923076923077,6.615384615384615,7.6923076923076925,5.615384615384615,7.3076923076923075,5.153846153846154,0.6923076923076923
36,0,26,2,2,7,8,2,5,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,20,25,20,15,15,5,6.461538461538462,7.153846153846154,7.3076923076923075,6.230769230769231,7.384615384615385,5.230769230769231,0.6153846153846154
37,0,27,3,2,5,8,2,6,2,7,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,10,10,30,25,10,15,4.909090909090909,7.090909090909091,7.2727272727272725,5.7272727272727275,6.7272727272727275,5.181818181818182,0.2727272727272727
38,0,23,1,1,8,1,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,50,10,20,10,10,0,6.666666666666667,7.583333333333333,7.916666666666667,7.75,7.75,6,0.5
39,0,24,1,3,6,4,5,6,4,1,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1,20,20,20,15,15,10,4.285714285714286,7.5,7,7.071428571428571,6.285714285714286,5.357142857142857,0.14285714285714285
41,1,30,1,4,1,1,2,6,5,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1,30,20,10,30,0,10,3.4615384615384617,6.076923076923077,6.538461538461538,4.076923076923077,6.923076923076923,3.3846153846153846,0
42,1,23,5,4,1,6,2,7,4,5,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1,20,25,20,15,10,10,4.8,5.866666666666666,6.8,5.533333333333333,6.666666666666667,4.8,0.2
43,1,24,8,2,1,1,6,6,3,2,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1,25,35,30,10,0,0,4.0625,6.375,7.0625,4.5625,6.4375,3.9375,0.1875
44,1,24,3,2,3,3,1,3,1,2,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8,25,15,25,25,15,15,4.888888888888889,6.555555555555555,6.722222222222222,4.611111111111111,5.777777777777778,4.055555555555555,0.2222222222222222
45,1,28,8,2,6,6,2,6,3,7,9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3,25,15,25,15,0,20,5.111111111111111,6.166666666666667,6.833333333333333,3.7777777777777777,6.444444444444445,4.055555555555555,0.2222222222222222
46,1,26,8,2,2,3,2,6,2,7,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,20,35,20,10,10,5,7.357142857142857,6.571428571428571,7.142857142857143,6.642857142857143,6.071428571428571,5.357142857142857,0.42857142857142855
47,1,30,8,2,2,2,1,6,1,2,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1,20,20,25,25,5,5,4,5.833333333333333,6.5,5.555555555555555,5.944444444444445,4.611111111111111,0.05555555555555555
48,1,22,12,2,9,2,1,5,2,6,3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2,30,15,25,25,5,0,6.722222222222222,6.222222222222222,5.833333333333333,6.722222222222222,5.555555555555555,5.111111111111111,0.4444444444444444
49,1,25,8,4,1,3,1,3,2,7,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7,20,20,20,20,5,15,6.5625,7.1875,7.75,7.03125,7,5.9375,0.5
50,1,27,1,1,4,4,6,6,2,1,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2,35,10,20,15,10,10,6.375,6.5,7.375,7.5,7.6875,5.875,0.5625
51,1,23,1,2,5,10,1,5,3,1,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1,25,10,35,15,0,15,5.470588235294118,5.029411764705882,6.294117647058823,4.235294117647059,5.794117647058823,4.352941176470588,0.29411764705882354
52,1,21,1,2,10,9,1,4,1,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,15,20,15,30,5,15,3.875,6.5,7.0625,5,6.1875,4.6875,0.1875
53,1,28,4,2,2,2,2,6,2,4,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,40,15,20,10,5,10,6.6,6.933333333333334,7.6,5.6,7.4,5.333333333333333,0.4
