iid,gender,age,field_of_study,race,imprace,imprelig,goal,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr,sinc,intel,fun,amb,shar,avg_attr,avg_sinc,avg_intel,avg_fun,avg_amb,avg_shar,yes_freq
219,1,26,8,2,1,1,1,3,2,7,8,2,7,7,7,8,3,3,6,7,2,6,7,7,10,3,10,16.28,16.28,18.6,16.28,16.28,16.28,7.428571428571429,8.071428571428571,8.214285714285714,7.785714285714286,7.785714285714286,7,0.5
234,0,22,3,6,1,5,3,7,3,2,5,3,10,10,9,5,2,1,4,9,5,6,5,5,9,7,4,20,20,20,10,10,20,5.6,8.2,7.2,7,6.8,4.6,0.4
78,0,23,11,3,1,4,2,7,3,11,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,10,25,20,10,20,15,6.038461538461538,6.615384615384615,6.269230769230769,5.3076923076923075,4.923076923076923,4.6923076923076925,0.2307692307692308
520,0,28,11,6,2,1,1,7,1,9,4,6,8,8,10,8,5,2,9,10,8,9,8,5,5,8,2,25,15,25,15,10,10,4.7894736842105265,7.421052631578948,7.421052631578948,6.578947368421052,6.368421052631579,5,0.21052631578947367
419,0,28,11,2,0,1,4,2,1,11,6,2,5,8,5,6,5,2,9,9,8,9,9,6,6,4,7,5,30,20,10,5,30,6.285714285714286,8.285714285714286,8.142857142857142,6.285714285714286,7.428571428571429,6.714285714285714,0.14285714285714285
402,1,29,2,4,1,1,3,4,2,7,10,2,6,9,6,6,9,7,4,3,3,5,8,4,4,6,9,25,20,15,25,10,5,5.066666666666666,8.266666666666667,8.2,6.466666666666667,8.466666666666667,5,0.06666666666666667
546,1,30,8,2,3,4,2,4,1,7,10,5,8,10,4,3,5,1,1,2,4,3,6,3,9,10,6,35,10,20,25,5,5,7.1875,6.25,7.375,7.125,6.4375,5.75,0.625
140,1,29,8,2,5,5,1,5,2,7,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,18.6,16.28,18.6,18.6,11.63,16.28,8,8.25,8.25,8.5,8.75,7.5,0.5
473,0,34,10,4,1,1,2,6,4,2,7,5,5,8,8,8,8,6,6,9,8,8,9,9,9,7,7,15,20,20,15,15,15,5.933333333333334,7.266666666666667,7.6,5.133333333333334,6.666666666666667,5.6,0.06666666666666667
92,0,29,9,2,1,2,5,6,1,7,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,10,20,20,20,20,10,7.769230769230769,7.461538461538462,7.384615384615385,6.153846153846154,6.6923076923076925,5.846153846153846,0.6153846153846154
133,0,24,5,4,8,6,1,6,5,2,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,12.77,19.15,17.02,17.02,14.89,19.15,5,9.25,8.75,7.5,7.25,4.25,0.25
490,1,29,14,2,6,1,2,6,3,6,3,1,2,7,7,7,6,2,5,9,9,8,10,9,8,7,4,30,15,20,10,10,15,3.75,6.25,7,5.833333333333333,6.25,4.916666666666667,0.16666666666666666
196,0,25,7,4,1,6,1,1,1,2,3,3,6,7,7,7,8,6,8,6,8,9,9,9,9,7,9,17.65,17.65,17.65,15.69,15.69,15.69,6.315789473684211,6.894736842105263,6.631578947368421,4.631578947368421,5.157894736842105,4.473684210526316,0.3684210526315789
99,1,28,1,2,1,1,3,3,2,1,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5,30,30,20,10,10,0,8,7.6,7.8,7.466666666666667,7.6,7.2,0.9333333333333332
281,1,27,3,2,2,5,6,5,5,2,4,4,2,4,7,5,8,1,2,6,2,6,8,7,5,3,9,20,20,20,15,5,20,5.6,5.85,7.55,4.7,5.95,5.25,0.2
479,0,27,13,2,3,3,1,4,3,7,10,7,10,9,8,7,9,1,7,5,4,7,7,7,7,7,7,15,15,20,20,15,15,7.642857142857143,7.5,8.142857142857142,6.785714285714286,7.571428571428571,5.928571428571429,0.5
423,1,30,8,2,1,1,2,4,1,7,9,2,9,8,7,7,7,6,5,9,5,5,8,7,5,5,4,30,20,30,10,5,5,6,7.2,7,5.8,6.8,4.2,0.2
247,1,25,10,4,1,1,1,6,4,2,5,4,7,1,3,2,9,4,2,5,3,3,3,3,3,2,6,20,30,10,15,0,25,4.125,7.75,7.375,5,6,4,0
61,0,28,7,2,1,5,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,15,15,20,15,15,20,4,7.222222222222222,7.555555555555555,5.333333333333333,5.666666666666667,4.222222222222222,0.2222222222222222
158,1,23,10,2,3,4,4,6,2,2,2,4,4,6,7,4,7,7,6,8,6,5,8,4,9,5,1,19.05,19.05,19.05,19.05,9.52,14.29,4.2727272727272725,6.363636363636363,7.363636363636363,3.727272727272727,6.545454545454546,3.8181818181818183,0
480,0,26,5,2,4,6,1,4,1,5,7,1,8,9,9,9,3,1,6,10,3,3,4,4,4,5,7,16,18,18,20,12,16,7.857142857142857,8.142857142857142,8.285714285714286,7.857142857142857,7.428571428571429,7,0.5714285714285714
204,0,26,8,2,8,6,3,5,1,7,10,5,9,9,10,10,3,1,9,8,4,5,5,3,8,10,7,19.61,15.69,17.65,15.69,17.65,13.73,5.684210526315789,6,6.421052631578948,6.315789473684211,6.842105263157895,4.842105263157895,0.3684210526315789
165,1,30,13,2,4,7,3,6,3,6,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,16.67,12.5,20.83,18.75,12.5,18.75,7.090909090909091,6.909090909090909,6.7272727272727275,5.2727272727272725,5.7272727272727275,5.090909090909091,0.18181818181818185
409,1,23,5,2,5,5,2,6,3,2,10,4,1,4,7,8,10,2,8,7,2,6,8,10,10,5,2,20,15,20,20,10,15,7.076923076923077,8.23076923076923,8.307692307692308,7.384615384615385,7.384615384615385,6.615384615384615,0.6153846153846154
310,1,25,5,2,7,8,1,3,1,10,2,2,3,7,6,6,3,8,5,9,8,7,9,5,6,5,3,24,15,20,20,8,13,6.333333333333333,6.75,7.333333333333333,4.916666666666667,6.083333333333333,3.8333333333333335,0.16666666666666666
125,1,21,4,2,3,1,1,3,1,4,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7,20,15,20,15,12,18,8,8.333333333333334,8.555555555555555,8.444444444444445,8.222222222222221,6.777777777777778,0.8888888888888888
260,0,27,10,4,4,4,2,7,3,2,9,6,7,9,5,5,6,2,3,9,6,7,7,9,9,5,3,19,20,19,14,13,15,5.444444444444445,6.833333333333333,7.5,5.888888888888889,6.833333333333333,5.666666666666667,0.5
11,1,27,8,2,7,3,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,5.555555555555555,8.666666666666666,8,5.333333333333333,6.444444444444445,5.222222222222222,0.4444444444444444
484,1,31,18,4,1,1,1,6,4,15,7,3,5,9,9,9,9,3,7,9,1,9,9,9,9,2,7,16,16,20,16,16,16,4.285714285714286,7.357142857142857,8.071428571428571,4.285714285714286,6.642857142857143,3.357142857142857,0.14285714285714285
232,1,31,13,2,4,7,2,5,4,9,5,5,9,8,7,8,9,3,8,7,4,6,8,7,7,3,5,17.78,17.78,17.78,17.78,13.33,15.56,5.461538461538462,7.846153846153846,7.615384615384615,6,7,5.923076923076923,0.07692307692307693
420,0,22,11,2,1,1,5,4,2,11,8,4,5,10,8,8,7,4,3,9,7,8,7,4,5,6,4,10,10,40,10,15,15,7.5,7.625,7.875,7.75,7.125,6.625,0.875
380,0,33,14,1,4,8,2,7,4,6,7,8,8,8,5,5,3,1,5,5,7,7,10,9,9,9,9,20,20,20,15,15,10,6.125,7.5,7.9375,6.6875,7.0625,6.125,0.3125
507,1,24,2,4,1,1,5,7,3,2,10,9,10,9,9,8,7,4,5,8,5,7,6,6,8,3,2,20,20,20,20,20,0,6,8,7.833333333333333,7.666666666666667,6.833333333333333,6,0.6666666666666666
111,1,27,8,4,7,1,5,5,1,7,9,9,7,9,10,9,9,1,5,9,5,8,9,8,5,3,5,20,20,20,20,10,10,5,7.428571428571429,7.5,6.571428571428571,7.142857142857143,5.5,0.07142857142857142
248,1,27,8,6,1,1,1,4,1,7,7,1,8,7,5,1,8,6,8,6,3,7,7,4,7,6,1,25,15,20,20,15,5,7,6,6.666666666666667,7.666666666666667,7.666666666666667,5.444444444444445,0.7777777777777778
461,1,27,5,6,2,2,1,7,4,4,9,8,9,9,7,7,9,8,6,2,2,7,6,6,6,4,4,40,20,20,10,10,0,4.5,6.833333333333333,7,5.666666666666667,7,4,0.16666666666666666
134,0,23,10,2,8,10,1,5,3,2,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,6.67,20,20,17.78,20,15.56,6.333333333333333,8.333333333333334,8.333333333333334,5.666666666666667,7,4.333333333333333,0.6666666666666666
537,1,22,5,4,7,1,1,5,1,1,6,6,7,10,8,8,3,3,6,10,8,10,10,10,10,10,1,20,5,25,25,5,20,6,5.823529411764706,6.882352941176471,6.588235294117647,6.352941176470588,5.529411764705882,0.5882352941176471
338,1,27,5,6,1,1,1,4,2,7,4,2,7,6,8,8,8,6,6,8,4,10,10,7,7,5,10,10,20,25,20,20,5,4.5,7.25,7.625,5.25,7.375,3.5,0.25
161,1,22,10,2,6,2,2,4,2,10,9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,16.67,18.75,18.75,18.75,18.75,8.33,7.928571428571429,7.428571428571429,8.071428571428571,7.857142857142857,7.285714285714286,6.357142857142857,0.7142857142857143
